"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Afghanistan","2019","Boilers; vapour generating boilers, including hybrid boilers n.e.c. in heading no. 8402","Import","273127.88","27946.975","Weight in kilograms","27946.975"
"Afghanistan","2019","Boilers; vapour generating boilers, including hybrid boilers n.e.c. in heading no. 8402","Export","24089.55","2569.839","Weight in kilograms","2569.839"
"Afghanistan","2019","Boilers; central heating boilers (excluding those of heading no. 8402)","Import","487487.16","41942.384","Number of items","64"
"Afghanistan","2019","Boilers; auxiliary plant, for use with boilers of heading no. 8402 or 8403 (e.g. economisers, super-heaters, soot removers, gas recoverers)","Import","137538.51","9495.17","Weight in kilograms","9495.17"
"Afghanistan","2019","Engines; compression-ignition internal combustion piston engines (diesel or semi-diesel engines), of a kind used for the propulsion of vehicles of chapter 87","Import","5968964.57","348395.672","Number of items","22788"
"Afghanistan","2019","Liquid elevators; parts thereof","Import","2841987.64","8340809.721","Weight in kilograms","8340809.721"
"Afghanistan","2019","Compressors; of a kind used in refrigerating equipment","Re-Export","5744.07","","Number of items","6"
"Afghanistan","2019","Compressors; of a kind used in refrigerating equipment","Export","5744.07","","Number of items","6"
"Afghanistan","2019","Compressors; of a kind used in refrigerating equipment","Import","319484.29","25380.179","Number of items","6617"
"Afghanistan","2019","Fans; table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an output not exceeding 125W","Import","1623803.84","212107.454","No Quantity",""
"Afghanistan","2019","Fans; table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an output not exceeding 125W","Export","958.05","","Number of items","120"
"Afghanistan","2019","Fans; table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an output not exceeding 125W","Re-Export","958.05","","Number of items","120"
"Afghanistan","2019","Air conditioning machines; comprising a motor-driven fan and elements for changing the temperature and humidity, of a kind designed to be fixed to a window, wall, ceiling or floor, self-contained or "split-system"","Import","6974049.7","652510.896","Number of items","73389"
"Afghanistan","2019","Air conditioning machines; containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps)","Import","1629072.72","120318.43","Number of items","37166"
"Afghanistan","2019","Air conditioning machines; containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit","Import","94901.31","6170.602","Number of items","281"
"Afghanistan","2019","Air conditioning machines; with motor driven fan and elements for temperature control, parts thereof","Import","82560.15","19193.546","Weight in kilograms","19193.546"
"Afghanistan","2019","Furnaces and ovens; non-electric, for the roasting, melting or other heat-treatment of ores, pyrites or of metals, for industrial or laboratory use","Import","992687.92","85243.947","Number of items","3976"
"Afghanistan","2019","Refrigerators and freezers; combined refrigerator-freezers, fitted with separate external doors, electric or other","Import","88056.36","19860.715","Number of items","840"
"Afghanistan","2019","Refrigerating or freezing equipment; n.e.c. in heading no. 8418","Import","569466.5","32214.559","Weight in kilograms","32214.559"
"Afghanistan","2019","Heaters; instantaneous gas water heaters, for domestic or other purposes","Import","17052.86","1517.908","Number of items","5141"
"Afghanistan","2019","Heaters; instantaneous or storage water heaters, non-electric, (other than instantaneous gas or solar water heaters)","Import","880315.97","151501.285","Number of items","9470"
"Afghanistan","2019","Centrifuges; n.e.c. in heading no. 8421, including centrifugal dryers (but not clothes-dryers)","Import","548984.2","579902","No Quantity",""
"Afghanistan","2019","Machinery; for filtering or purifying water","Import","862760.73","42105.548","No Quantity",""
"Afghanistan","2019","Machinery; filtering or purifying machinery, oil or petrol filters for internal combustion engines","Import","3083597.9","187792.477","Number of items","1451100"
"Afghanistan","2019","Machinery; for filtering or purifying liquids, n.e.c. in item no. 8421.2","Import","163838.39","4388.549","Number of items","16152"
"Afghanistan","2019","Machinery; for packing or wrapping","Import","483464.28","14089.491","Number of items","306"
"Afghanistan","2019","Machinery; parts of machinery of heading no. 8422","Import","1535328.26","6780.45","Weight in kilograms","6780.45"
"Afghanistan","2019","Weighing machines; other than personal, conveyor or constant weight scales, having a maximum weighing capacity exceeding 30kg but not exceeding 5000kg","Import","187947.56","","Number of items","6686"
"Afghanistan","2019","Fire extinguishers; whether or not charged","Import","110117.94","","Number of items","23052"
"Afghanistan","2019","Fork-lift and other works trucks; fitted with lifting or handling equipment, self-propelled by electric motor","Export","45586.05","","Number of items","5"
"Afghanistan","2019","Fork-lift and other works trucks; fitted with lifting or handling equipment, self-propelled by electric motor","Re-Export","45586.05","","Number of items","5"
"Afghanistan","2019","Fork-lift and other works trucks; fitted with lifting or handling equipment, self-propelled by electric motor","Import","106017.73","15950.387","Number of items","2"
"Afghanistan","2019","Lifts and skip hoists","Import","160524.32","25772.558","Number of items","222"
"Afghanistan","2019","Boring and sinking machinery; not self-propelled","Import","185074.17","8466.365","Number of items","9"
"Afghanistan","2019","Lifts, skip hoists or escalators; parts thereof","Import","94726.15","39841.74","Weight in kilograms","39841.74"
"Afghanistan","2019","Threshing machinery; other than combine harvester-threshers","Import","54048.92","5044.864","Number of items","347"
"Afghanistan","2019","Machines; for cleaning, sorting or grading eggs, fruit or other agricultural produce","Import","7307471.7","244004.52","No Quantity",""
"Afghanistan","2019","Machines; for cleaning, sorting or grading eggs, fruit or other agricultural produce","Export","343.21","","No Quantity",""
"Afghanistan","2019","Machines; for cleaning, sorting or grading eggs, fruit or other agricultural produce","Re-Export","343.21","","No Quantity",""
"Afghanistan","2019","Presses, crushers and similar machinery; used in the manufacture of wine, cider, fruit juices or similar beverages","Import","361323.73","18262.771","Number of items","23"
"Afghanistan","2019","Poultry incubators and brooders","Import","27546.53","2245.976","Number of items","8"
"Afghanistan","2019","Printing machinery; offset, sheet-fed, office type (sheet size not exceeding 22 x 36cm in the unfolded state)","Import","870555.67","","Number of items","2430"
"Afghanistan","2019","Printing machinery; offset, n.e.c. in item no. 8443.1","Import","1232544.6","44463.711","Number of items","650"
"Afghanistan","2019","Textile machinery; carding machines for preparing textile fibres","Import","158262.6","18385.072","Number of items","37"
"Afghanistan","2019","Weaving machines (looms); for weaving fabrics of a width exceeding 30cm, shuttle type, other than power looms","Import","122961.9","","Number of items","14"
"Afghanistan","2019","Drying machines; of a dry linen capacity not exceeding 10kg","Import","57125.29","8563.513","Number of items","1675"
"Afghanistan","2019","Sewing machines; of the household type","Import","17775.99","1169.63","Number of items","101"
"Afghanistan","2019","Sewing machine needles","Import","3005.56","500","Weight in kilograms","500"
"Afghanistan","2019","Metal-rolling mills; parts thereof","Import","124743.19","58745","Weight in kilograms","58745"
"Afghanistan","2019","Machines; unit construction machines (single station), for working metal","Export","51332.28","","Number of items","2"
"Afghanistan","2019","Machines; unit construction machines (single station), for working metal","Re-Export","51332.28","","Number of items","2"
"Afghanistan","2019","Machines; unit construction machines (single station), for working metal","Import","2724352.48","","Number of items","110"
"Afghanistan","2019","Machine-tools; parts and accessories, for the machines of heading no. 8462 or 8463, n.e.c. in heading no. 8466","Import","92181.1","","Weight in kilograms","1856.679"
"Afghanistan","2019","Calculating machines; electronic calculators capable of operation without an external source of electric power and pocket-size data recording, reproducing and displaying machines with calculating functions","Import","28044.92","958.139","Number of items","46152"
"Afghanistan","2019","Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display","Import","1053382.3","10778.161","No Quantity",""
"Afghanistan","2019","Office machines; duplicating machines","Import","497838.41","19882.517","Number of items","37"
"Afghanistan","2019","Machines, for sorting, screening, separating, washing, crushing etc mineral substances, for agglomerating, shaping or moulding solid fuels, ceramic pastes etc, for forming foundry moulds of sand; parts","Export","79012.04","7553.367","Weight in kilograms","7553.367"
"Afghanistan","2019","Machines, for sorting, screening, separating, washing, crushing etc mineral substances, for agglomerating, shaping or moulding solid fuels, ceramic pastes etc, for forming foundry moulds of sand; parts","Import","28369190.39","3624132.18","Weight in kilograms","3624132.18"
"Afghanistan","2019","Machinery; injection-moulding machines, for working rubber or plastics or for the manufacture of products from these materials","Import","1057619.96","107693.882","Number of items","17"
"Afghanistan","2019","Machinery; for preparing or making up tobacco, n.e.c. in this chapter","Import","456272.33","","Number of items","19"
"Afghanistan","2019","Ball bearings","Import","694024.42","626183.684","No Quantity",""
"Afghanistan","2018","Boilers; vapour generating boilers, including hybrid boilers n.e.c. in heading no. 8402","Import","975448.79","79066.418","Weight in kilograms","79066.418"
"Afghanistan","2018","Boilers; vapour generating boilers, including hybrid boilers n.e.c. in heading no. 8402","Export","3217.85","329.136","Weight in kilograms","329.136"
"Afghanistan","2018","Air conditioning machines; containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps)","Import","10188461.18","668424.338","Number of items","94191"
"Afghanistan","2018","Furnaces and ovens; non-electric, for the roasting, melting or other heat-treatment of ores, pyrites or of metals, for industrial or laboratory use","Import","245388.04","16886.919","No Quantity",""
"Afghanistan","2018","Fork-lift and other works trucks; fitted with lifting or handling equipment, self-propelled by electric motor","Import","195460.41","27873.125","Number of items","147"
"Afghanistan","2018","Machines; for cleaning, sorting or grading eggs, fruit or other agricultural produce","Import","6744058.92","218602.496","No Quantity",""
"Afghanistan","2018","Machines; for cleaning, sorting or grading eggs, fruit or other agricultural produce","Re-Export","4334.55","","No Quantity",""
"Afghanistan","2018","Machines; for cleaning, sorting or grading eggs, fruit or other agricultural produce","Export","4334.55","","No Quantity",""
"Afghanistan","2018","Printing machinery; offset, sheet-fed, office type (sheet size not exceeding 22 x 36cm in the unfolded state)","Import","779890.69","","Number of items","5891.7"
"Afghanistan","2018","Printing machinery; offset, n.e.c. in item no. 8443.1","Import","190512.3","6350.957","Number of items","160"
"Afghanistan","2018","Machines; unit construction machines (single station), for working metal","Import","5191324.39","106450.912","Number of items","212"
"Afghanistan","2018","Machine-tools; forging or die-stamping machines (including presses) and hammers, for working metal","Export","64690.83","","Number of items","4"
"Afghanistan","2018","Machines; for agglomerating, shaping or moulding solid mineral fuels, ceramic paste, unhardened cements, plastering materials in powder or paste form, machines for forming foundry moulds of sand","Export","91794.24","6330.926","Number of items","31.24"
"Afghanistan","2018","Machines, for sorting, screening, separating, washing, crushing etc mineral substances, for agglomerating, shaping or moulding solid fuels, ceramic pastes etc, for forming foundry moulds of sand; parts","Import","75742938.2","10920935.118","Weight in kilograms","10920935.118"
"Afghanistan","2018","Machines, for sorting, screening, separating, washing, crushing etc mineral substances, for agglomerating, shaping or moulding solid fuels, ceramic pastes etc, for forming foundry moulds of sand; parts","Export","249.57","23.734","Weight in kilograms","23.734"
"Afghanistan","2017","Boilers; vapour generating boilers, including hybrid boilers n.e.c. in heading no. 8402","Export","3401.98","401.948","Weight in kilograms","401.948"
"Afghanistan","2017","Boilers; vapour generating boilers, including hybrid boilers n.e.c. in heading no. 8402","Import","357993.88","34469.618","Weight in kilograms","34469.618"
"Afghanistan","2017","Air conditioning machines; containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps)","Import","10777904.45","763039.424","Number of items","98330"
"Afghanistan","2017","Fork-lift and other works trucks; fitted with lifting or handling equipment, self-propelled by electric motor","Import","1699806.94","255672.569","Number of items","1615"
"Afghanistan","2017","Machines; for cleaning, sorting or grading eggs, fruit or other agricultural produce","Import","9425615.75","388189.666","No Quantity",""
"Afghanistan","2017","Machines; unit construction machines (single station), for working metal","Import","1858038.25","","Number of items","63"
"Afghanistan","2017","Machines, for sorting, screening, separating, washing, crushing etc mineral substances, for agglomerating, shaping or moulding solid fuels, ceramic pastes etc, for forming foundry moulds of sand; parts","Import","97186345.96","12521628.069","Weight in kilograms","12521628.069"
"Afghanistan","2017","Machines, for sorting, screening, separating, washing, crushing etc mineral substances, for agglomerating, shaping or moulding solid fuels, ceramic pastes etc, for forming foundry moulds of sand; parts","Export","84173.58","8700.538","Weight in kilograms","8700.538"
"Afghanistan","2016","Air conditioning machines; containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps)","Import","6561112","509308","Number of items","43883"
"Afghanistan","2016","Machines; for cleaning, sorting or grading eggs, fruit or other agricultural produce","Import","2658712","100104","Number of items","41"
"Afghanistan","2016","Machines; unit construction machines (single station), for working metal","Import","358500","","Number of items","14"
"Afghanistan","2016","Machines, for sorting, screening, separating, washing, crushing etc mineral substances, for agglomerating, shaping or moulding solid fuels, ceramic pastes etc, for forming foundry moulds of sand; parts","Import","228780852","25003300","Weight in kilograms","25003300"
"Afghanistan","2015","Air conditioning machines; containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps)","Import","8503327","537406","Number of items","63829"
"Afghanistan","2015","Machines; for cleaning, sorting or grading eggs, fruit or other agricultural produce","Import","1756229","60462","No Quantity",""
"Afghanistan","2015","Machines; unit construction machines (single station), for working metal","Import","247200","","Number of items","6"
"Afghanistan","2015","Machines, for sorting, screening, separating, washing, crushing etc mineral substances, for agglomerating, shaping or moulding solid fuels, ceramic pastes etc, for forming foundry moulds of sand; parts","Import","79728591","7511439","Weight in kilograms","7511439"
"Afghanistan","2011","Air conditioning machines; containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps)","Import","19578602","1448545","Number of items","195091"
"Afghanistan","2011","Machines; for cleaning, sorting or grading eggs, fruit or other agricultural produce","Import","4264158","157010","Number of items","80"
"Afghanistan","2011","Machines; unit construction machines (single station), for working metal","Import","3837261","","Number of items","116"
"Afghanistan","2011","Machines, for sorting, screening, separating, washing, crushing etc mineral substances, for agglomerating, shaping or moulding solid fuels, ceramic pastes etc, for forming foundry moulds of sand; parts","Import","69858635","7131357","Weight in kilograms","7131357"
"Afghanistan","2010","Air conditioning machines; containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps)","Import","15286531","1015689","Number of items","130540"
"Afghanistan","2010","Machines; for cleaning, sorting or grading eggs, fruit or other agricultural produce","Import","14043035","481289","Number of items","230"
"Afghanistan","2010","Machines; unit construction machines (single station), for working metal","Import","10763579","","Number of items","195"
"Afghanistan","2010","Machines, for sorting, screening, separating, washing, crushing etc mineral substances, for agglomerating, shaping or moulding solid fuels, ceramic pastes etc, for forming foundry moulds of sand; parts","Import","75378054","7736450","Weight in kilograms","7736450"
